unknown | MSBuild.exe закрыт в 24.05.2022 21:59:46
DESKTOP-76744F9\pflat | winpty-agent.exe открыт в 24.05.2022 21:59:46
unknown | conhost.exe закрыт в 24.05.2022 21:59:46
DESKTOP-76744F9\pflat | conhost.exe открыт в 24.05.2022 21:59:46
DESKTOP-76744F9\pflat | JetBrains.DPA.Runner.exe открыт в 24.05.2022 21:59:47
unknown | git.exe закрыт в 24.05.2022 21:59:47
unknown | runnerw.exe открыт в 24.05.2022 21:59:47
unknown | git.exe закрыт в 24.05.2022 21:59:47
unknown | conhost.exe открыт в 24.05.2022 21:59:47
unknown | runnerw.exe закрыт в 24.05.2022 21:59:47
unknown | git.exe открыт в 24.05.2022 21:59:47
unknown | conhost.exe закрыт в 24.05.2022 21:59:47
unknown | git.exe открыт в 24.05.2022 21:59:48
unknown | git.exe закрыт в 24.05.2022 21:59:48
DESKTOP-76744F9\pflat | FileManager.exe открыт в 24.05.2022 21:59:48
unknown | git.exe закрыт в 24.05.2022 21:59:48
unknown | runnerw.exe открыт в 24.05.2022 21:59:48
unknown | runnerw.exe закрыт в 24.05.2022 21:59:48
unknown | conhost.exe открыт в 24.05.2022 21:59:48
unknown | conhost.exe закрыт в 24.05.2022 21:59:48
unknown | git.exe открыт в 24.05.2022 21:59:48
unknown | git.exe открыт в 24.05.2022 21:59:48
DESKTOP-76744F9\pflat | notepad.exe открыт в 24.05.2022 21:59:50
unknown | notepad.exe закрыт в 24.05.2022 22:00:02
unknown | taskhostw.exe открыт в 24.05.2022 22:00:22
NT AUTHORITY\СИСТЕМА | TrustedInstaller.exe открыт в 24.05.2022 22:00:22
NT AUTHORITY\СИСТЕМА | TiWorker.exe открыт в 24.05.2022 22:00:23
unknown | taskhostw.exe закрыт в 24.05.2022 22:00:23
DESKTOP-76744F9\pflat | JetBrains.Debugger.Worker32c.exe открыт в 24.05.2022 22:00:52
DESKTOP-76744F9\pflat | FileManager.exe открыт в 24.05.2022 22:00:53
DESKTOP-76744F9\pflat | dotnet.exe открыт в 24.05.2022 22:00:53
DESKTOP-76744F9\pflat | conhost.exe открыт в 24.05.2022 22:00:53
unknown | reg.exe открыт в 24.05.2022 22:01:05
unknown | runnerw.exe открыт в 24.05.2022 22:02:40
unknown | git.exe закрыт в 24.05.2022 22:02:40
unknown | conhost.exe открыт в 24.05.2022 22:02:40
unknown | git.exe закрыт в 24.05.2022 22:02:40
unknown | git.exe открыт в 24.05.2022 22:02:40
unknown | runnerw.exe закрыт в 24.05.2022 22:02:40
unknown | git.exe открыт в 24.05.2022 22:02:40
unknown | conhost.exe закрыт в 24.05.2022 22:02:40
DESKTOP-76744F9\pflat | FileManager.exe открыт в 24.05.2022 22:02:41
DESKTOP-76744F9\pflat | dotnet.exe открыт в 24.05.2022 22:02:41
DESKTOP-76744F9\pflat | conhost.exe открыт в 24.05.2022 22:02:41
DESKTOP-76744F9\pflat | smartscreen.exe открыт в 24.05.2022 22:02:54
DESKTOP-76744F9\pflat | notepad.exe открыт в 24.05.2022 22:02:54
unknown | notepad.exe закрыт в 24.05.2022 22:02:57
DESKTOP-76744F9\pflat | Discord.exe открыт в 24.05.2022 22:03:26
unknown | reg.exe закрыт в 24.05.2022 22:04:04
DESKTOP-76744F9\pflat | winpty-agent.exe открыт в 24.05.2022 22:05:19
unknown | winpty-agent.e закрыт в 24.05.2022 22:05:19
DESKTOP-76744F9\pflat | conhost.exe открыт в 24.05.2022 22:05:19
unknown | conhost.exe закрыт в 24.05.2022 22:05:19
DESKTOP-76744F9\pflat | JetBrains.Debugger.Worker32c.exe открыт в 24.05.2022 22:05:20
unknown | git.exe закрыт в 24.05.2022 22:05:20
unknown | runnerw.exe открыт в 24.05.2022 22:05:20
unknown | git.exe закрыт в 24.05.2022 22:05:20
unknown | conhost.exe открыт в 24.05.2022 22:05:20
unknown | runnerw.exe закрыт в 24.05.2022 22:05:20
unknown | git.exe открыт в 24.05.2022 22:05:20
unknown | conhost.exe закрыт в 24.05.2022 22:05:20
unknown | git.exe открыт в 24.05.2022 22:05:20
DESKTOP-76744F9\pflat | FileManager.exe открыт в 24.05.2022 22:05:20
DESKTOP-76744F9\pflat | dotnet.exe открыт в 24.05.2022 22:05:20
DESKTOP-76744F9\pflat | conhost.exe открыт в 24.05.2022 22:05:20
unknown | reg.exe закрыт в 24.05.2022 22:05:30
unknown | reg.exe открыт в 24.05.2022 22:05:52
DESKTOP-76744F9\pflat | FileManager.exe открыт в 24.05.2022 22:07:45
DESKTOP-76744F9\pflat | dotnet.exe открыт в 24.05.2022 22:07:46
DESKTOP-76744F9\pflat | conhost.exe открыт в 24.05.2022 22:07:46
unknown | reg.exe закрыт в 24.05.2022 22:07:57
unknown | reg.exe открыт в 24.05.2022 22:08:16
DESKTOP-76744F9\pflat | winpty-agent.exe открыт в 24.05.2022 22:17:05
DESKTOP-76744F9\pflat | conhost.exe открыт в 24.05.2022 22:17:05
DESKTOP-76744F9\pflat | JetBrains.DPA.Runner.exe открыт в 24.05.2022 22:17:05
DESKTOP-76744F9\pflat | FileManager.exe открыт в 24.05.2022 22:17:05
unknown | runnerw.exe открыт в 24.05.2022 22:17:05
unknown | conhost.exe открыт в 24.05.2022 22:17:05
unknown | git.exe закрыт в 24.05.2022 22:17:05
unknown | git.exe открыт в 24.05.2022 22:17:05
unknown | git.exe закрыт в 24.05.2022 22:17:06
unknown | git.exe открыт в 24.05.2022 22:17:06
unknown | runnerw.exe закрыт в 24.05.2022 22:17:06
unknown | conhost.exe закрыт в 24.05.2022 22:17:06
DESKTOP-76744F9\pflat | Loging.exe открыт в 24.05.2022 22:17:09
DESKTOP-76744F9\pflat | smartscreen.exe открыт в 24.05.2022 22:17:38
DESKTOP-76744F9\pflat | notepad.exe открыт в 24.05.2022 22:17:38
unknown | notepad.exe закрыт в 24.05.2022 22:17:42
DESKTOP-76744F9\pflat | notepad.exe открыт в 24.05.2022 22:17:43
unknown | notepad.exe закрыт в 24.05.2022 22:17:45
unknown | Loging.exe закрыт в 24.05.2022 22:18:01
unknown | runnerw.exe открыт в 24.05.2022 22:19:36
unknown | git.exe закрыт в 24.05.2022 22:19:36
unknown | conhost.exe открыт в 24.05.2022 22:19:36
unknown | git.exe закрыт в 24.05.2022 22:19:36
DESKTOP-76744F9\pflat | FileManager.exe открыт в 24.05.2022 22:19:36
unknown | runnerw.exe закрыт в 24.05.2022 22:19:36
